Developed by Yury Rozhkov 

  данные http://egr.gov.by за период: 24.11.2021 - 26.11.2021 

193601871 ; Общество с ограниченной ответственностью "Ателье ШуШу" ; 2021-11-23 ; г. Минск Центральный район ; +375 44 735-91-56, +375 29 379-14-31 ; Производство прочей верхней одежды
291634745 ; Кулан Егор Александрович ; 2021-11-23 ; адрес проверьте вручную ; № телефона не обнаружен ; Розничная торговля путем заказа товаров по почте и через сеть Интернет
291649991 ; Яроц Александр Васильевич ; 2021-11-23 ; адрес проверьте вручную ; № телефона не обнаружен ; Деятельность ресторанов
291693183 ; Касабуко Александр Валерьевич ; 2021-11-23 ; адрес проверьте вручную ; № телефона не обнаружен ; Розничная торговля путем заказа товаров по почте и через сеть Интернет
291711615 ; Общество с ограниченной ответственностью "ТортБери" ; 2021-11-23 ; Брестская область г. Брест Ленинский район ; +375 29 726-86-22 ; Производство хлебобулочных изделий и мучных кондитерских изделий недлительного хранения
291711628 ; Общество с ограниченной ответственностью "Вкусный двор" ; 2021-11-24 ; Брестская область г. Брест Ленинский район ; +375 29 645-97-22 ; Деятельность ресторанов
291711630 ; Вертепов Александр Игоревич ; 2021-11-24 ; адрес проверьте вручную ; № телефона не обнаружен ; Розничная торговля табачными изделиями в специализированных магазинах
291711643 ; Котович Андрей Владимирович ; 2021-11-24 ; адрес проверьте вручную ; № телефона не обнаружен ; Деятельность в области компьютерного программирования
291717348 ; Притульчик Павел Николаевич ; 2021-11-24 ; адрес проверьте вручную ; № телефона не обнаружен ; Деятельность такси
291719445 ; Бойко Валерия Владимировна ; 2021-11-23 ; адрес проверьте вручную ; № телефона не обнаружен ; Розничная торговля продуктами питания, напитками и табачными изделиями в палатках, киосках и на рынках
291724869 ; Кабак Сергей Анатольевич ; 2021-11-23 ; адрес проверьте вручную ; № телефона не обнаружен ; Прочая почтовая и курьерская деятельность, не включенная в другие группировки
291724871 ; Кушнеревич Максим Иванович ; 2021-11-23 ; адрес проверьте вручную ; № телефона не обнаружен ; Прочая розничная торговля вне магазинов, палаток, киосков и рынков
291724884 ; Китель Виталий Валерьевич ; 2021-11-23 ; адрес проверьте вручную ; № телефона не обнаружен ; Прочие строительные работы, требующие специальных профессий
291724897 ; Общество с ограниченной ответственностью "Эмплект" ; 2021-11-23 ; Брестская область г. Брест Московский район ; +375 29 521-06-86 ; Оптовая торговля прочими машинами и оборудованием, не включенными в другие группировки
291724907 ; Конашук Владимир Афанасьевич ; 2021-11-23 ; адрес проверьте вручную ; № телефона не обнаружен ; Оптовая торговля фруктами и овощами
291724922 ; Малахов Владислав Алексеевич ; 2021-11-23 ; адрес проверьте вручную ; № телефона не обнаружен ; Прочие виды образования, не включенные в другие группировки
291724935 ; Швороб Алексей Васильевич ; 2021-11-23 ; адрес проверьте вручную ; № телефона не обнаружен ; Производство прочей мебели
291728027 ; Борсук Алина Павловна ; 2021-11-24 ; адрес проверьте вручную ; № телефона не обнаружен ; Прочая розничная торговля вне магазинов, палаток, киосков и рынков
291730028 ; Кондерешко Инна Михайловна ; 2021-11-23 ; адрес проверьте вручную ; № телефона не обнаружен ; Розничная торговля путем заказа товаров по почте и через сеть Интернет
291732061 ; Данько Михаил Михайлович ; 2021-11-23 ; адрес проверьте вручную ; № телефона не обнаружен ; Розничная торговля автомобильными деталями, узлами и принадлежностями для автомобилей
291732074 ; Белаш Наталья Алексеевна ; 2021-11-24 ; адрес проверьте вручную ; № телефона не обнаружен ; Деятельность такси
291732087 ; Радченков Виталий Игоревич ; 2021-11-24 ; адрес проверьте вручную ; № телефона не обнаружен ; Специализированные работы по дизайну
291734541 ; Богданович Алексей Вячеславович ; 2021-11-23 ; адрес проверьте вручную ; № телефона не обнаружен ; Общее строительство зданий
291734554 ; Зырко Максим Сергеевич ; 2021-11-23 ; адрес проверьте вручную ; № телефона не обнаружен ; Деятельность такси
291734567 ; Володько Эдуард Михайлович ; 2021-11-23 ; адрес проверьте вручную ; № телефона не обнаружен ; Деятельность такси
291734582 ; Шоломицкий Олег Русланович ; 2021-11-23 ; адрес проверьте вручную ; № телефона не обнаружен ; Деятельность такси
291745486 ; Войтехович Виктория Владимировна ; 2021-11-23 ; адрес проверьте вручную ; № телефона не обнаружен ; Деятельность в области фотографии
291745499 ; Вережан Николай Николаевич ; 2021-11-23 ; адрес проверьте вручную ; № телефона не обнаружен ; Предоставление жилья на выходные дни и прочие периоды краткосрочного проживания
291745509 ; Гордеева Анна Михайловна ; 2021-11-23 ; адрес проверьте вручную ; № телефона не обнаружен ; Розничная торговля путем заказа товаров по почте и через сеть Интернет
291745511 ; Анискевич Александр Александрович ; 2021-11-24 ; адрес проверьте вручную ; № телефона не обнаружен ; Деятельность такси
291750802 ; Общество с ограниченной ответственностью "Пуртранс" ; 2021-11-23 ; Брестская область Столинский район г. Давид-Городок ; +375 44 563-69-26, +375 29 527-90-98 ; Оптовая торговля фруктами и овощами
291750815 ; Мамайко Александр Юрьевич ; 2021-11-23 ; адрес проверьте вручную ; № телефона не обнаружен ; Деятельность в области компьютерного программирования
291750828 ; Павлович Евгений Николаевич ; 2021-11-23 ; адрес проверьте вручную ; № телефона не обнаружен ; Розничная торговля одеждой в специализированных магазинах
291750830 ; Калько Елена Евгеньевна ; 2021-11-24 ; адрес проверьте вручную ; № телефона не обнаружен ; Розничная торговля прочими товарами в палатках, киосках и на рынках
291750843 ; Остапчук Людмила Евгеньевна ; 2021-11-24 ; адрес проверьте вручную ; № телефона не обнаружен ; Розничная торговля прочими товарами в палатках, киосках и на рынках
391069228 ; Бурдо Ольга Андреевна ; 2021-11-24 ; адрес проверьте вручную ; № телефона не обнаружен ; Розничная торговля прочими товарами в палатках, киосках и на рынках
391119199 ; Миклушонок Светлана Васильевна ; 2021-11-23 ; адрес проверьте вручную ; № телефона не обнаружен ; Прочая розничная торговля в неспециализированных магазинах
391517675 ; Частное унитарное предприятие "Лесной лис" ; 2021-11-23 ; Витебская область Витебский район Новкинский сельсовет ; +375 29 711-25-71 ; Деятельность по обеспечению физического комфорта
391517688 ; Частное транспортное унитарное предприятие "Альфа Вояж" ; 2021-11-23 ; Витебская область Витебский район Летчанский сельсовет д. Старое Село ; +375 33 681-97-16 ; Деятельность такси
391517690 ; Сосновский Илья Васильевич ; 2021-11-24 ; адрес проверьте вручную ; № телефона не обнаружен ; Деятельность грузового автомобильного транспорта
391748984 ; Вуткарёв Сергей Николаевич ; 2021-11-23 ; адрес проверьте вручную ; № телефона не обнаружен ; Деятельность грузового автомобильного транспорта
391748997 ; Садовникова Наталья Сергеевна ; 2021-11-23 ; адрес проверьте вручную ; № телефона не обнаружен ; Консультационные услуги в области компьютерных технологий
391749008 ; Митрахович Илья Михайлович ; 2021-11-23 ; адрес проверьте вручную ; № телефона не обнаружен ; Разведение прочих видов животных
391782715 ; Иванов Михаил Александрович ; 2021-11-23 ; адрес проверьте вручную ; № телефона не обнаружен ; Прочие перевозки пассажиров автомобильным транспортом в нерегулярном сообщении
391838309 ; Рипинский Дмитрий Сергеевич ; 2021-11-23 ; адрес проверьте вручную ; № телефона не обнаружен ; Производство прочих деревянных изделий
391838311 ; Кулинёнок Александр Викторович ; 2021-11-23 ; адрес проверьте вручную ; № телефона не обнаружен ; Деятельность грузового автомобильного транспорта
391860053 ; Андреев Роман Олегович ; 2021-11-23 ; адрес проверьте вручную ; № телефона не обнаружен ; Специализированные работы по дизайну
391927760 ; Исаченко Наталья Степановна ; 2021-11-23 ; адрес проверьте вручную ; № телефона не обнаружен ; Предоставление услуг парикмахерскими и салонами красоты
391927773 ; Иванова Ирина Михайловна ; 2021-11-24 ; адрес проверьте вручную ; № телефона не обнаружен ; Образование в области физической культуры, спорта и отдыха
391963683 ; Морозова Оксана Владимировна ; 2021-11-24 ; адрес проверьте вручную ; № телефона не обнаружен ; Деятельность по письменному и устному переводу
491043620 ; Трубович Андрей Викторович ; 2021-11-23 ; адрес проверьте вручную ; № телефона не обнаружен ; Прочая розничная торговля непродовольственными товарами в специализированных магазинах
491351108 ; Шпиганович Николай Призонтович ; 2021-11-24 ; адрес проверьте вручную ; № телефона не обнаружен ; Сдача внаем собственного и арендуемого недвижимого имущества
491464158 ; Лабунский Анатолий Сергеевич ; 2021-11-23 ; адрес проверьте вручную ; № телефона не обнаружен ; Деятельность грузового автомобильного транспорта
491464160 ; Рыбак Ольга Викторовна ; 2021-11-24 ; адрес проверьте вручную ; № телефона не обнаружен ; Постпроизводственный этап изготовления кино-, видеофильмов и телевизионных программ
491464173 ; Поламарь Валентин Владимирович ; 2021-11-24 ; адрес проверьте вручную ; № телефона не обнаружен ; Деятельность, способствующая растениеводству
491504719 ; Романов Валерий Михайлович ; 2021-11-24 ; адрес проверьте вручную ; № телефона не обнаружен ; Деятельность грузового автомобильного транспорта
491526876 ; Общество с ограниченной ответственностью "Аквамарин торг" ; 2021-11-23 ; Гомельская область Гомельский район Поколюбичский сельсовет п. Янтарный ; +375 29 325-32-66 ; Розничная торговля в неспециализированных магазинах преимущественно продуктами питания, напитками и табачными изделиями
491526891 ; Глушакова Марина Викторовна ; 2021-11-24 ; адрес проверьте вручную ; № телефона не обнаружен ; Деятельность в области фотографии
491542542 ; Алексеевич Сергей Олегович ; 2021-11-23 ; адрес проверьте вручную ; № телефона не обнаружен ; Деятельность такси
491542555 ; Дещеня Алина Дмитриевна ; 2021-11-23 ; адрес проверьте вручную ; № телефона не обнаружен ; Деятельность в области компьютерного программирования
491561261 ; Каноплич Леонид Валерьевич ; 2021-11-23 ; адрес проверьте вручную ; № телефона не обнаружен ; Деятельность ресторанов
491561274 ; Общество с ограниченной ответственностью "ТурКлуб" ; 2021-11-23 ; Гомельская область Мозырский район г. Мозырь ; +375 29 682-95-93, +375 33 681-95-93 ; Турагентская деятельность
491590549 ; Сотникова Надежда Фёдоровна ; 2021-11-23 ; адрес проверьте вручную ; № телефона не обнаружен ; Розничная торговля одеждой в специализированных магазинах
491590551 ; Багрянцев Дмитрий Владимирович ; 2021-11-23 ; адрес проверьте вручную ; № телефона не обнаружен ; Ремонт компьютеров и периферийного оборудования
491625888 ; Гуща Наталья Владимировна ; 2021-11-23 ; адрес проверьте вручную ; № телефона не обнаружен ; Предоставление жилья на выходные дни и прочие периоды краткосрочного проживания
491638120 ; Коновалова Дарья Сергеевна ; 2021-11-23 ; адрес проверьте вручную ; № телефона не обнаружен ; Прочие отделочные работы
491638133 ; Малышев Сергей Александрович ; 2021-11-23 ; адрес проверьте вручную ; № телефона не обнаружен ; Деятельность в области компьютерного программирования
491654024 ; Ембулаев Александр Васильевич ; 2021-11-23 ; адрес проверьте вручную ; № телефона не обнаружен ; Производство прочих готовых изделий, не включенных в другие группировки
491673710 ; Капельчук Сергей Валерьевич ; 2021-11-23 ; адрес проверьте вручную ; № телефона не обнаружен ; Электромонтажные работы
491673723 ; Захаренко Максим Сергеевич ; 2021-11-23 ; адрес проверьте вручную ; № телефона не обнаружен ; Деятельность такси
491673736 ; Бородина Мария Юрьевна ; 2021-11-23 ; адрес проверьте вручную ; № телефона не обнаружен ; Прочие виды образования, не включенные в другие группировки
491682162 ; Штыхнов Максим Юрьевич ; 2021-11-24 ; адрес проверьте вручную ; № телефона не обнаружен ; Прочая розничная торговля вне магазинов, палаток, киосков и рынков
591038762 ; Общество с ограниченной ответственностью "ШАДЕМ" ; 2021-11-24 ; Гродненская область г. Гродно Октябрьский район ; +375 33 689-82-84, +375 29 607-10-89 ; Деятельность грузового автомобильного транспорта
591299135 ; Радейко Анна Валерьевна ; 2021-11-23 ; адрес проверьте вручную ; № телефона не обнаружен ; Деятельность ресторанов
591299148 ; Гончарова Екатерина Станиславовна ; 2021-11-23 ; адрес проверьте вручную ; № телефона не обнаружен ; Предоставление услуг парикмахерскими и салонами красоты
591386114 ; Бутурля Вероника Викторовна ; 2021-11-23 ; адрес проверьте вручную ; № телефона не обнаружен ; Предоставление прочих индивидуальных услуг, не включенных в другие группировки
591386127 ; Водейко Андрей Рышардович ; 2021-11-23 ; адрес проверьте вручную ; № телефона не обнаружен ; Розничная торговля мебелью в специализированных магазинах
591439957 ; Луговская Екатерина Вацлавовна ; 2021-11-23 ; адрес проверьте вручную ; № телефона не обнаружен ; Прочие виды образования, не включенные в другие группировки
591474488 ; Вербель Виталий Францевич ; 2021-11-24 ; адрес проверьте вручную ; № телефона не обнаружен ; Деятельность такси
591491998 ; Лесницкас Руслан Владимирович ; 2021-11-23 ; адрес проверьте вручную ; № телефона не обнаружен ; Розничная торговля автомобильными деталями, узлами и принадлежностями для автомобилей
591531405 ; Арцукевич Сергей Дмитриевич ; 2021-11-23 ; адрес проверьте вручную ; № телефона не обнаружен ; Прочая деятельность по организации отдыха и развлечений
591623853 ; Савощик Ирина Александровна ; 2021-11-23 ; адрес проверьте вручную ; № телефона не обнаружен ; Прочая розничная торговля вне магазинов, палаток, киосков и рынков
591623866 ; Буйвол Юрий Константинович ; 2021-11-24 ; адрес проверьте вручную ; № телефона не обнаружен ; Прочая розничная торговля вне магазинов, палаток, киосков и рынков
591623879 ; Губко Светлана Валентиновна ; 2021-11-24 ; адрес проверьте вручную ; № телефона не обнаружен ; Сдача внаем собственного и арендуемого недвижимого имущества
591623881 ; Максимович Елена Сергеевна ; 2021-11-24 ; адрес проверьте вручную ; № телефона не обнаружен ; Прочие виды образования, не включенные в другие группировки
591670202 ; Петров Алексей Сергеевич ; 2021-11-23 ; адрес проверьте вручную ; № телефона не обнаружен ; Аренда и лизинг прочих предметов личного потребления и бытовых товаров
591693167 ; Частное унитарное предприятие "ЭмЭмЭм" ; 2021-11-23 ; Гродненская область Островецкий район г. Островец ; +375 29 709-60-60 ; Розничная торговля автомобильными деталями, узлами и принадлежностями для автомобилей
591823377 ; Тарасевич Юлиан Сергеевич ; 2021-11-23 ; адрес проверьте вручную ; № телефона не обнаружен ; Прочая вспомогательная деятельность в сфере финансовых услуг, кроме страхования и дополнительного пенсионного обеспечения
591874492 ; Шляхтун Денис Николаевич ; 2021-11-24 ; адрес проверьте вручную ; № телефона не обнаружен ; Розничная торговля путем заказа товаров по почте и через сеть Интернет
591953204 ; Полубок Евгений Валентинович ; 2021-11-23 ; адрес проверьте вручную ; № телефона не обнаружен ; Деятельность такси
591953217 ; Николаева Виктория Игоревна ; 2021-11-23 ; адрес проверьте вручную ; № телефона не обнаружен ; Предоставление услуг парикмахерскими и салонами красоты
592001731 ; Горбач Александр Иосифович ; 2021-11-24 ; адрес проверьте вручную ; № телефона не обнаружен ; Ковка, прессование, штамповка, профилирование металла
690728132 ; Сопот Наталия Валерьевна ; 2021-11-23 ; адрес проверьте вручную ; № телефона не обнаружен ; Деятельность ресторанов
691145818 ; Нестеренко Сергей Викторович ; 2021-11-23 ; адрес проверьте вручную ; № телефона не обнаружен ; Сдача внаем собственного и арендуемого недвижимого имущества
691145820 ; Голубёнков Михаил Игоревич ; 2021-11-24 ; адрес проверьте вручную ; № телефона не обнаружен ; Электромонтажные работы
691949488 ; Частное торгово-производственное унитарное предприятие "Биотехнопласт" ; 2021-11-23 ; Минская область Пуховичский район Шацкий сельсовет д. Габриелевка ; +375 44 748-51-84 ; Производство пластмассовых плит, полос, труб и профилей
691998649 ; Аксенов Сергей Алексеевич ; 2021-11-23 ; адрес проверьте вручную ; № телефона не обнаружен ; Предоставление прочих индивидуальных услуг, не включенных в другие группировки
692115041 ; Ажгиревич-Бельская Кристина Сергеевна ; 2021-11-24 ; адрес проверьте вручную ; № телефона не обнаружен ; Сдача внаем собственного и арендуемого недвижимого имущества
692194805 ; Карп Александр Игоревич ; 2021-11-23 ; адрес проверьте вручную ; № телефона не обнаружен ; Деятельность в области компьютерного программирования
692194818 ; Общество с ограниченной ответственностью "АгроТрон" ; 2021-11-23 ; Минская область Минский район Горанский сельсовет аг. Новоселье ; +375 29 660-39-60, +375 29 251-37-77 ; Оптовая торговля прочими машинами и оборудованием, не включенными в другие группировки
692194820 ; Тупик Александр Валерьевич ; 2021-11-23 ; адрес проверьте вручную ; № телефона не обнаружен ; Розничная торговля прочими товарами в палатках, киосках и на рынках
692194833 ; Давыдик Антон Витальевич ; 2021-11-23 ; адрес проверьте вручную ; № телефона не обнаружен ; Деятельность по письменному и устному переводу
692194846 ; Общество с ограниченной ответственностью "ГРИДАЛИЯ" ; 2021-11-23 ; Минская область Минский район Хатежинский сельсовет аг. Хатежино ; +375 29 507-38-59 ; Неспециализированная оптовая торговля товарами
692194859 ; Киселёв Виталий Владимирович ; 2021-11-23 ; адрес проверьте вручную ; № телефона не обнаружен ; Прочая розничная торговля вне магазинов, палаток, киосков и рынков
692194861 ; Орловский Анатолий Анатольевич ; 2021-11-23 ; адрес проверьте вручную ; № телефона не обнаружен ; Исследование конъюнктуры рынка и изучение общественного мнения
692194874 ; Селицкая Наталья Михайловна ; 2021-11-23 ; адрес проверьте вручную ; № телефона не обнаружен ; Прочая деятельность в области физической культуры и спорта
692194887 ; Общество с ограниченной ответственностью "Никси" ; 2021-11-23 ; Минская область Минский район Боровлянский сельсовет д. Боровая ; +375 29 373-50-19, +375 29 191-41-60 ; Производство одежды из кожи
692194912 ; Шабловский Владимир Дмитриевич ; 2021-11-23 ; адрес проверьте вручную ; № телефона не обнаружен ; Деятельность в области компьютерного программирования
692194925 ; Частное унитарное предприятие по оказанию услуг "И Ворлд" ; 2021-11-24 ; Минская область Минский район Боровлянский сельсовет д. Боровляны ; +375 33 606-75-18 ; Ремонт бытовой электрической и садовой техники
692194938 ; Жилищно-строительный потребительский кооператив "Связист-2021-3 очередь" ; 2021-11-24 ; Минская область Минский район гп. Мачулищи ; +375 29 795-02-71 ; Управление недвижимым имуществом
692194940 ; Карницкий Алексей Владимирович ; 2021-11-24 ; адрес проверьте вручную ; № телефона не обнаружен ; Розничная торговля путем заказа товаров по почте и через сеть Интернет
692257509 ; Липницкий Валентин Артёмович ; 2021-11-23 ; адрес проверьте вручную ; № телефона не обнаружен ; Деятельность в области компьютерного программирования
692257511 ; Общество с ограниченной ответственностью "БиФёрст" ; 2021-11-23 ; Минская область Молодечненский район г. Молодечно ; +375296130777,+375291999000 ; Деятельность по созданию рекламы
692257524 ; Хорошко Наталья Анатольевна ; 2021-11-23 ; адрес проверьте вручную ; № телефона не обнаружен ; Деятельность грузового автомобильного транспорта
692257537 ; Кривец Евгений Валерьевич ; 2021-11-23 ; адрес проверьте вручную ; № телефона не обнаружен ; Деятельность ресторанов
693159133 ; Общество с ограниченной ответственностью "МиралемОпт" ; 2021-11-23 ; Минская область Минский район Боровлянский сельсовет д. Боровая ; № телефона не обнаружен ; Неспециализированная оптовая торговля товарами
693159146 ; Общество с ограниченной ответственностью "Голденворлд" ; 2021-11-24 ; Минская область Пуховичский район гп. Руденск ; +375 33 334-64-77 ; Прочая розничная торговля в неспециализированных магазинах
693159159 ; Общество с ограниченной ответственностью "ПЛОК-Недвижимость" ; 2021-11-24 ; Минская область Борисовский район г. Борисов ; +375 29 198-79-55, +375 44 573-07-14 ; Сдача внаем собственного и арендуемого недвижимого имущества
693159161 ; Общество с ограниченной ответственностью "АбливиТранс" ; 2021-11-24 ; Минская область Минский район гп. Мачулищи ; +375 29 271-64-03 ; Деятельность такси
693159174 ; Общество с ограниченной ответственностью "Ливиабар" ; 2021-11-24 ; Минская область Минский район гп. Мачулищи ; +375 29 271-64-03 ; Деятельность такси
693163285 ; Шингель Сергей Владимирович ; 2021-11-23 ; адрес проверьте вручную ; № телефона не обнаружен ; Деятельность грузового автомобильного транспорта
693177359 ; Лосик Виталий Витальевич ; 2021-11-23 ; адрес проверьте вручную ; № телефона не обнаружен ; Деятельность ресторанов
693177361 ; Частное торгово-производственное унитарное предприятие "ОмПрофСистем" ; 2021-11-23 ; Минская область Солигорский район г. Солигорск ; +375 29 787-42-58 ; Электромонтажные работы
693210892 ; Общество с ограниченной ответственностью "Ниват энд Ко" ; 2021-11-23 ; Минская область Мядельский район г. Мядель ; +375 29 106-36-79 ; Организация похорон и предоставление связанных с ними услуг
693232370 ; Артюх Дмитрий Юрьевич ; 2021-11-23 ; адрес проверьте вручную ; № телефона не обнаружен ; Иная профессиональная, научная и техническая деятельность
693232383 ; Шибалко Ольга Геннадьевна ; 2021-11-23 ; адрес проверьте вручную ; № телефона не обнаружен ; Предоставление прочих индивидуальных услуг, не включенных в другие группировки
693242727 ; Лихачёв Антон Александрович ; 2021-11-23 ; адрес проверьте вручную ; № телефона не обнаружен ; Деятельность по управлению компьютерными системами
790864389 ; Ошейко Денис Юрьевич ; 2021-11-23 ; адрес проверьте вручную ; № телефона не обнаружен ; Розничная торговля путем заказа товаров по почте и через сеть Интернет
791256527 ; Кирдун Татьяна Владимировна ; 2021-11-24 ; адрес проверьте вручную ; № телефона не обнаружен ; Прочие виды образования, не включенные в другие группировки
791256542 ; Крестьянское (фермерское) хозяйство "Бояново" ; 2021-11-24 ; Могилевская область Глусский район Славковичский сельсовет аг. Заелица ; +375 44 788-27-52 ; Разведение молочного крупного рогатого скота
791276929 ; Романович Любовь Михайловна ; 2021-11-24 ; адрес проверьте вручную ; № телефона не обнаружен ; Деятельность грузового автомобильного транспорта
791276931 ; Могаддаси Бонаб Людмила Александровна ; 2021-11-24 ; адрес проверьте вручную ; № телефона не обнаружен ; Специализированные работы по дизайну
791292000 ; Базылев Максим Андреевич ; 2021-11-24 ; адрес проверьте вручную ; № телефона не обнаружен ; Деятельность такси
791293964 ; Коновалов Олег Николаевич ; 2021-11-24 ; адрес проверьте вручную ; № телефона не обнаружен ; Лесозаготовки
791295372 ; Зайцев Николай Сергеевич ; 2021-11-24 ; адрес проверьте вручную ; № телефона не обнаружен ; Деятельность грузового автомобильного транспорта
791295385 ; Общество с ограниченной ответственностью "Альтавилла" ; 2021-11-24 ; Могилевская область Могилевский район Вейнянский сельсовет д. Затишье ; № телефона не обнаружен ; Оптовая торговля мясом и мясными продуктами
791297454 ; Кревчик Ирина Анатольевна ; 2021-11-23 ; адрес проверьте вручную ; № телефона не обнаружен ; Сдача внаем собственного и арендуемого недвижимого имущества
791300949 ; Частное унитарное предприятие "Бавида" ; 2021-11-23 ; Могилевская область г. Могилев Ленинский район ; +375 29 754-54-52 ; Розничная торговля парфюмерными и косметическими товарами в специализированных магазинах
791300951 ; Общество с ограниченной ответственностью "РИТУАЛЬНОЕ АГЕНТСТВО "Вознесение" ; 2021-11-24 ; Могилевская область г. Могилев Ленинский район ; +375 29 133-32-61, +375 44 728-99-59 ; Организация похорон и предоставление связанных с ними услуг
791303021 ; Общество с ограниченной ответственностью "КрисСол" ; 2021-11-23 ; Могилевская область г. Могилев Октябрьский район ; +375 29 517-32-63 ; Деятельность такси
812007134 ; Общество с ограниченной ответственностью "Боравтолайт" ; 2021-11-23 ; Могилевская область Могилевский район Буйничский сельсовет аг. Буйничи ; +375 29 628-90-17, +375 44 712-32-19 ; Деятельность грузового автомобильного транспорта
